"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"302",2009,"Finnmark",2017,"Kvalsund",1098162.73784,1886000,1.43970962301793,1.24147946044329,0.862312400080298,0.98,0.98,NA,1,0.945431864822807,299.43,3667.51072985339,181971.835391191,0.0201542767427125,1.90544954450177
"303",2010,"Finnmark",2017,"Kvalsund",2342031.61528,3625320,1.57584376801058,1.27685660916767,0.810268527304348,1,1,0,1,0.932272749882815,299.43,7821.63315392579,88338.494172657,0.0885416174135644,8.25449371452159
"304",2011,"Finnmark",2017,"Kvalsund",5400289.9472,7361502,1.41253067887937,1.29053062695158,0.913630157736056,0.983333333333333,0.983333333333333,0,1,0.964917973265441,299.43,18035.2334341916,121986.97818055,0.147845562724721,14.2658840740627
"305",2012,"Finnmark",2017,"Kvalsund",10030254.06288,12594007,1.39510669059345,1.26235960493737,0.904848076099748,0.964285714285714,0.964285714285714,0,1,0.955565511531889,299.43,33497.8260791504,125686.780826335,0.266518291413917,25.4675687467545
"306",2013,"Finnmark",2017,"Kvalsund",4543936.03312,6954919,1.38646851850045,1.19861379343724,0.864508481399644,1,1,0,1,0.952627438036563,299.43,15175.2864880606,188225.773299608,0.080622787315664,7.68034793278877
"307",2014,"Finnmark",2017,"Kvalsund",11938492.25184,15741414,1.32227547107863,1.15775147187438,0.875575095505591,1,1,0,1,0.956675091804366,299.43,39870.7285570584,113206.377398058,0.352195074813358,33.6936255530115
"308",2015,"Finnmark",2017,"Kvalsund",749074.850959999,3459880,1.53737600516952,1.26086687479015,0.820142158164566,1,1,0,1,0.936044248068218,299.43,2501.66934161573,134594.780267383,0.0185866742874127,1.73979495574501
"309",2016,"Finnmark",2017,"Kvalsund",4920101.39888,8274068,1.3295319373519,1.20884798699381,0.90922824268632,1,1,NA,1,0.968778084690756,299.43,16431.5579563838,181158.02372089,0.0907028991533928,8.78709809177227
"310",2017,"Finnmark",2017,"Kvalsund",8139034.65176,11819120,1.36427577657528,1.18855767041856,0.871200449957546,0.996598639455782,0.996598639455782,0,1,0.9539950625529,299.43,27181.7608514845,213718.888359355,0.127184644558791,12.1333522941632
"311",2018,"Finnmark",2017,"Kvalsund",11467788.48656,17230170,1.40866664437296,1.15415056810372,0.819321287058278,0.98060648501825,0.98060648501825,0,1,0.929643277611413,299.43,38298.7292073607,127051.292751092,0.301443050110417,28.023450511783
"312",2005,"Finnmark",2017,"Kvalsund",1179536.88512,375500,1.17623110307944,1.17623110307944,1,0.857142857142857,0.857142857142857,NA,1,0.949914251592996,299.43,3939.27423811909,53364.7520671726,0.0738179057434868,7.01206806884867
"313",2009,"Finnmark",2022,"Lebesby",213434.25544,341332,1.43970962301793,1.24147946044329,0.862312400080298,1,1,NA,0.754854861382838,0.866647913717263,2269.84,94.0305287773588,181971.835391191,0.000516731221483909,0.0447824035051603
"314",2010,"Finnmark",2022,"Lebesby",1403040.30304,2305411,1.57584376801058,1.27685660916767,0.810268527304348,0.983333333333333,0.983333333333333,0,0.754854861382838,0.844107442126256,2269.84,618.122996792725,88338.494172657,0.00699721002244625,0.59063970540673
