Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2015,1,1943,Kvaenangen,1
2016,1,1943,Kvaenangen,1
2017,1,1943,Kvaenangen,1
2018,0.9950980392156863,1943,Kvaenangen,0.9950980392156863
2019,1,1943,Kvaenangen,1
2004,NA,1943,Kvaenangen,0.9912287467434526
2005,NA,1943,Kvaenangen,0.9912287467434526
2006,NA,1943,Kvaenangen,0.9912287467434526
2007,NA,1943,Kvaenangen,0.9912287467434526
2008,NA,1943,Kvaenangen,0.9912287467434526
2009,NA,1943,Kvaenangen,0.9912287467434526
2010,NA,1943,Kvaenangen,0.9912287467434526
2011,NA,1943,Kvaenangen,0.9912287467434526
2012,0.9861111111111112,2017,Kvalsund,0.9861111111111112
2013,1,2017,Kvalsund,1
2014,1,2017,Kvalsund,1
2015,1,2017,Kvalsund,1
2016,1,2017,Kvalsund,1
2017,0.9967948717948718,2017,Kvalsund,0.9967948717948718
2018,0.9826923076923076,2017,Kvalsund,0.9826923076923076
2019,0.9743589743589743,2017,Kvalsund,0.9743589743589743
2004,NA,2017,Kvalsund,0.9924946581196581
2005,NA,2017,Kvalsund,0.9924946581196581
2006,NA,2017,Kvalsund,0.9924946581196581
2007,NA,2017,Kvalsund,0.9924946581196581
2008,NA,2017,Kvalsund,0.9924946581196581
2009,NA,2017,Kvalsund,0.9924946581196581
2010,NA,2017,Kvalsund,0.9924946581196581
2011,NA,2017,Kvalsund,0.9924946581196581
2012,1,1920,Lavangen,1
2013,0.97,1920,Lavangen,0.97
2014,1,1920,Lavangen,1
2015,1,1920,Lavangen,1
2016,0.95,1920,Lavangen,0.95
2017,0.9607843137254902,1920,Lavangen,0.9607843137254902
2018,1,1920,Lavangen,1
2019,1,1920,Lavangen,1
2004,NA,1920,Lavangen,0.9850980392156863
2005,NA,1920,Lavangen,0.9850980392156863
2006,NA,1920,Lavangen,0.9850980392156863
2007,NA,1920,Lavangen,0.9850980392156863
2008,NA,1920,Lavangen,0.9850980392156863
2009,NA,1920,Lavangen,0.9850980392156863
2010,NA,1920,Lavangen,0.9850980392156863
2011,NA,1920,Lavangen,0.9850980392156863
2012,1,2022,Lebesby,1
2013,0.9471544715447154,2022,Lebesby,0.9471544715447154
2014,0.957,2022,Lebesby,0.957
2015,1,2022,Lebesby,1
2016,1,2022,Lebesby,1
2017,1,2022,Lebesby,1
2018,1,2022,Lebesby,1
2019,1,2022,Lebesby,1
2004,NA,2022,Lebesby,0.9880193089430894
2005,NA,2022,Lebesby,0.9880193089430894
2006,NA,2022,Lebesby,0.9880193089430894
2007,NA,2022,Lebesby,0.9880193089430894
