"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"154",1850,"Tysfjord","Nordland","2018",758.9866,35.41537,2056.90766,139.93245,36.8994007246781,25.3089044035176,14.6992899788434,1
"155",2003,"Vadso","Finnmark","2018",7688.9029,118.72121,28093.73613,365.38835,27.3687446355324,32.4917885312983,76.8873340652487,1
"156",1857,"Vaeroy","Nordland","2018",97275.64495,8190.20939,416318.50804,67935.35004,23.3656786982561,12.0558875242089,6.12815725237117,1
"157",1865,"Vagan","Nordland","2018",80681.95664,5181.86812,284283.21691,20355.38708,28.3808370810517,25.4569863969396,13.9659941514608,1
"158",2002,"Vardo","Finnmark","2018",80835.6313,4011.63415,118876.83611,6154.09942,67.99948076108,65.1863721434647,19.3166908749745,1
"159",1824,"Vefsn","Nordland","2018",3.3,0.081,3.3,0.081,100,100,40.7407407407407,0
"160",1815,"Vega","Nordland","2018",5372.67631,325.32247,5880.84873,359.86027,91.3588591828989,90.402441480967,16.3420338955451,1
"161",1860,"Vestvagoy","Nordland","2018",116028.87054,7165.373,244613.19927,15093.89396,47.4336098322843,47.4719977428542,16.2061029392577,1
"162",1816,"Vevelstad","Nordland","2018",0,0,0,0,0,0,0,0
"163",1820,"Alstahaug","Nordland","2017",0,0,23.94065,91.995,0,0,0.260238599923909,0
"164",2012,"Alta","Finnmark","2017",111.9012,7.8115,2244.78132,48.8607631030492,4.98494882343372,15.9872656583878,45.9424122227824,1
"165",1871,"Andoy","Nordland","2017",139492.26105,10658.9582,350765.24907,25131.2031,39.7679819822067,42.4132428423214,13.9573600067718,1
"166",1854,"Ballangen","Nordland","2017",0,0,0,0,0,0,0,0
"167",1933,"Balsfjord","Troms","2017",0,0,0,0,0,0,0,0
"168",2028,"Batsfjord","Finnmark","2017",361946.87425,24805.9407,1295842.49895,94820.4503,27.9313940192022,26.1609606593484,13.6662765769422,1
"169",1929,"Berg","Troms","2017",42455.67179,3390.6474,548710.48878,54365.2071,7.73735378822368,6.23679662208074,10.0930451303293,1
"170",2024,"Berlevag","Finnmark","2017",114772.73964,8464.1747,231176.5144,18592.9892,49.6472316566773,45.5234745147918,12.4335313656827,1
"171",1811,"Bindal","Nordland","2017",1219.33769,108.6705,1571.27738,134.7304,77.601682905917,80.6577431670952,11.6623819123227,1
"172",1867,"Bo","Nordland","2017",41268.99511,2771.6332,69352.87843,4595.1764,59.5058143861384,60.3161436849301,15.0925388696721,1
"173",1804,"Bodo","Nordland","2017",14581.46375,1514.689,36131.17314,11147.137,40.3570171759997,13.5881437538625,3.24129623059266,1
"174",1813,"Bronnoy","Nordland","2017",10700.66867,478.2847,18580.85501,20991.2662,57.5897538850662,2.2784938051998,0.885170757826891,1
"175",1827,"Donna","Nordland","2017",4560.06001,354.1843,13909.76557,1118.1445,32.783155021929,31.6760758560276,12.4400429193186,1
"176",1926,"Dyroy","Troms","2017",0,0,0,0,0,0,0,0
"177",1853,"Evenes","Nordland","2017",0,0,0,0,0,0,0,0
"178",1841,"Fauske","Nordland","2017",0,0,50.93525,2.8712,0,0,17.7400564224018,0
"179",1859,"Flakstad","Nordland","2017",110400.8689,7563.0512,166521.31165,11380.6802102825,66.2983421197427,66.4551771972886,14.6319296011452,1
"180",2023,"Gamvik","Finnmark","2017",74615.95411,5170.2297,129326.06441,9787.1957,57.6959907118541,52.8264669316871,13.2138018257875,1
"181",1838,"Gildeskal","Nordland","2017",881.25212,51.3446,1187.21122,71.8892,74.2287560254021,71.4218547431325,16.514458639128,1
"182",1919,"Gratangen","Troms","2017",0,0,0,0,0,0,0,0
"183",1866,"Hadsel","Nordland","2017",104269.12791,7107.9066,171510.66116,11429.1338,60.794546067739,62.1911224803406,15.0064444218861,1
"184",1849,"Hamaroy","Nordland","2017",0,0,0,0,0,0,0,0
"185",2004,"Hammerfest","Finnmark","2017",176497.12601,11832.8143,466031.3817,36280.4954,37.8723693168837,32.6148090579822,12.8452320334082,1
"186",1903,"Harstad","Troms","2017",1328.49501,96.024,37211.85337,2582.9393,3.57008557673998,3.7176251102765,14.4067858543946,1
"187",2015,"Hasvik","Finnmark","2017",48632.35186,3272.9549,252008.66465,20510.3897,19.2978887958248,15.9575461406275,12.2868784228902,1
"188",1832,"Hemnes","Nordland","2017",0,0,0,0,0,0,0,0
"189",1818,"Heroy","Nordland","2017",5878.83093,416.1846,8270.25297,587.4708,71.0840521000411,70.8434529852377,14.0777260248509,1
"190",1917,"Ibestad","Troms","2017",0,0,2.45693,0.2579,0,0,9.5266770065917,0
"191",1940,"Kafjord","Troms","2017",593.90757,54.8934,1881.17951,144.5657,31.571020566772,37.9712476749326,13.0126268540878,1
"192",1936,"Karlsoy","Troms","2017",66511.62256,4479.992,160929.86609,13203.5906,41.3295705613794,33.9301038309988,12.1883411085163,1
"193",1911,"Kvaefjord","Troms","2017",287.21819,27.3526,836.16645,82.8252,34.3494037580675,33.0244901310229,10.0955560626476,0
"194",1943,"Kvaenangen","Troms","2017",2122.22989,158.3696,3971.10359,256.1462,53.4418164095286,61.8278155209798,15.5032695780769,1
"195",2017,"Kvalsund","Finnmark","2017",0,0,0,0,0,0,0,0
"196",1920,"Lavangen","Troms","2017",0,0,0,0,0,0,0,0
"197",2022,"Lebesby","Finnmark","2017",70932.92829,3269.4008,146726.76183,6950.8973,48.3435519228483,47.0356654528617,21.1090389481082,1
"198",1822,"Leirfjord","Nordland","2017",1683.92565,14.165,1683.92565,14.165,100,100,118.879325803036,1
"199",1931,"Lenvik","Troms","2017",139864.91948,10176.6092,242663.67758,16461.1849,57.6373526004485,61.8218509895967,14.7415680617256,1
"200",1851,"Lodingen","Nordland","2017",17937.44447,3842.5757,184921.36321,38829.5526,9.70003906451302,9.89600817599943,4.76238717234151,1
"201",2014,"Loppa","Finnmark","2017",9888.24209,655.1931,30925.01655,1907.986,31.9748966795622,34.3395129733656,16.2081988809142,1
"202",1834,"Luroy","Nordland","2017",2350.99141,154.5711,5301.93115,237.2462,44.3421716255218,65.1521921109801,22.3478021987286,1
"203",1938,"Lyngen","Troms","2017",6550.51088,139.3879,18310.15302,380.0699,35.7752929363558,36.6742801784619,48.1757514078331,1
"204",1924,"Malselv","Troms","2017",0,0,0,0,0,0,0,0
"205",2018,"Masoy","Finnmark","2017",63668.42028,4570.8973,350284.26809,32854.7967,18.1762146005488,13.9124199785415,10.6615868388557,1
"206",1837,"Meloy","Nordland","2017",6662.5902,620.3757,7666.39466,720.2916,86.906433799483,86.1284096607541,10.6434597599083,1
"207",1874,"Moskenes","Nordland","2017",79620.13604,5478.4098,129381.27851,8921.7001,61.5391476703069,61.4054467040424,14.5018636649757,1
"208",1805,"Narvik","Nordland","2017",233.80899,1.806,233.80899,1.806,100,100,129.462342192691,0
"209",1828,"Nesna","Nordland","2017",0,0,42.14537,6.2662,0,0,6.72582585937251,0
"210",2027,"Nesseby","Finnmark","2017",10897.66612,463.6975,13734.48764,605.7896,79.3452686816062,76.5443150559204,22.6720426365854,1
"211",2019,"Nordkapp","Finnmark","2017",146984.29893,8983.9893,319122.85237,22664.371,46.0588446858021,39.6392615528576,14.0803754214048,1
"212",1942,"Nordreisa","Troms","2017",1224.97417,89.7948,2481.85863,220.8884,49.3571291770152,40.6516593899906,11.2358033740115,1
"213",1868,"Oksnes","Nordland","2017",215978.87046,16215.5496,510673.14949,37177.1456,42.2929755902957,43.616983870865,13.7362118916951,1
"214",2020,"Porsanger","Finnmark","2017",12090.1407,164.9928,68114.93444,572.0933,17.7496180527778,28.8401909268995,119.062632685962,1
"215",1833,"Rana","Nordland","2017",48.96053,1.1429,172.18033,3.966,28.4356116636552,28.8174483106404,43.4141023701462,0
"216",1836,"Rodoy","Nordland","2017",10291.71627,930.9073,13179.27792,1154.8939,78.0901376575569,80.6054391663165,11.4116785273522,1
"217",1856,"Rost","Nordland","2017",46167.84726,3308.9015,240417.82361,16581.6194,19.2031716146355,19.9552373032998,14.4990557200945,1
"218",1923,"Salangen","Troms","2017",0,0,0,0,0,0,0,0
"219",1840,"Saltdal","Nordland","2017",0,0,0,0,0,0,0,0
"220",1913,"Skanland","Troms","2017",0,0,0,0,0,0,0,0
"221",1941,"Skjervoy","Troms","2017",36902.58504,2721.7022,74892.66719,8364.5349,49.2739628919604,32.5385957801431,8.95359611566687,1
"222",1812,"Somna","Nordland","2017",0,0,0,0,0,0,0,0
