"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"burfjorden_0403040700-c","god","lav","ukjent","lav",75,NA
"isfjorden_0403040800-1-c","svaert_god","lav","ukjent","lav",100,NA
"jokelfjorden_0403040800-2-c","god","lav","ukjent","lav",75,NA
"olderfjorden_0403040900-c","svaert_god","lav","ukjent","lav",100,NA
"mevaer_havn_-_loppa_oy_0420000030-2-c","udefinert","lav","darlig","lav",NA,0
"lopphavet_0420000030-3-c","god","lav","darlig","middels",75,0
"bukt_nord_for_bjorndalen_0420000030-4-c","udefinert","lav","ukjent","lav",NA,NA
"trombak_-_tarhalsen_0420000031-c","god","lav","ukjent","lav",75,NA
"frakkfjorden_0420010100-c","god","lav","ukjent","lav",75,NA
"sandland_havn_0420010200-1-c","god","lav","darlig","lav",75,0
"sandlandsfjorden_0420010200-2-c","god","middels","god","lav",75,100
"langfjorden_0420010300-c","god","lav","ukjent","lav",75,NA
"bergsfjorden_0420010400-c","god","lav","ukjent","lav",75,NA
"soroysundet_0420020100-10-c","god","lav","darlig","lav",75,0
"trollvika_0420020100-2-c","udefinert","lav","ukjent","lav",NA,NA
"rypklubben_0420020100-8-c","god","lav","darlig","lav",75,0
"ullsfjorden_0420020200-c","god","lav","ukjent","lav",75,NA
"nuvsfjorden_0420020300-c","god","lav","ukjent","lav",75,NA
"sorfjorden_0420020400-c","god","lav","ukjent","lav",75,NA
"nordfjorden_0420020500-c","god","lav","ukjent","lav",75,NA
"smalfjorden_0420020600-c","god","lav","ukjent","lav",75,NA
"lille_kjerringfjorden_0420020700-c","god","lav","ukjent","lav",75,NA
"store_kjerringfjorden_0420020800-c","god","lav","ukjent","lav",75,NA
"bardfjorden_0420020900-c","god","lav","ukjent","lav",75,NA
"skreifjorden_0420021000-c","god","lav","ukjent","lav",75,NA
"jofjorden_0420021100-c","god","middels","ukjent","lav",75,NA
"eidvagen_0420021201-c","god","lav","ukjent","lav",75,NA
"vinnasundet_0420021202-1-c","god","lav","ukjent","lav",75,NA
"honsebyfjorden_-_njiŋŋevuotna_0420021202-2-c","god","lav","ukjent","lav",75,NA
"hammerfest_havn_0420021300-c","svaert_god","hoy","darlig","lav",100,0
"akkarfjorden_0420021400-c","god","lav","ukjent","lav",75,NA
"skippernesfjorden_0420021500-c","god","lav","ukjent","lav",75,NA
"langstrandfjorden_0420021600-c","god","lav","ukjent","lav",75,NA
"slettnes_0420021700-c","god","middels","god","lav",75,100
"hamnefjorden_0420021800-c","god","lav","ukjent","lav",75,NA
"husfjorden_0420021900-c","god","lav","ukjent","lav",75,NA
"komagfjordbotn_0420022000-c","god","lav","ukjent","lav",75,NA
"straumen_0420022100-c","god","lav","ukjent","lav",75,NA
"kobbefjorden_0420022200-c","god","lav","ukjent","lav",75,NA
"oyfjorden_0420022300-c","god","lav","ukjent","lav",75,NA
"kipparfjorden_0420022400-c","god","lav","ukjent","lav",75,NA
"meltefjorden_0420022500-c","god","lav","ukjent","lav",75,NA
"hasfjorden_0420022600-c","god","lav","god","lav",75,100
"hasvik_0420022700-c","god","lav","darlig","lav",75,0
"oksfjorden-midtre_0420030101-2-c","god","hoy","ukjent","lav",75,NA
"vassdalsbotn_0420030101-3-c","god","lav","darlig","lav",75,0
"oksfjorden-ytre_0420030101-4-c","god","lav","ukjent","lav",75,NA
"oksfjordbotn_0420030102-1-c","god","lav","ukjent","lav",75,NA
"oksfjorden_indre_0420030102-2-c","god","hoy","ukjent","lav",75,NA
"lillebukta_-_ytre_simavik_0420030200-1-c","moderat","lav","ukjent","lav",50,NA
"stjernsundet_deponi_0420030200-5-c","udefinert","lav","ukjent","lav",NA,NA
"stjernsundet_0420030200-7-c","god","lav","ukjent","lav",75,NA
"altafjorden-ytre_0420030300-2-c","god","lav","ukjent","lav",75,NA
"hjemmeluft__bossekop_og_tollevika_0420030300-4-c","god","middels","god","lav",75,100
"talvikbukta_0420030300-5-c","god","middels","god","lav",75,100
"altafjorden-indre_0420030300-6-c","darlig","middels","darlig","lav",0,0
"langfjordbotn_0420030401-2-c","god","lav","ukjent","lav",75,NA
"tappeluft_0420030401-3-c","god","lav","ukjent","lav",75,NA
"langfjorden-indre_0420030401-4-c","god","lav","ukjent","lav",75,NA
"langfjorden-ytre_0420030402-c","god","middels","god","lav",75,100
"kafjord_-_indre_0420030501-1-c","moderat","middels","god","lav",50,100
"kafjordbotn_0420030501-2-c","udefinert","lav","ukjent","lav",NA,NA
"kafjorden_0420030502-c","moderat","middels","god","lav",50,100
"rafsbotn_0420030600-2-c","god","middels","god","lav",75,100
"russeluft_0420030600-3-c","god","lav","god","lav",75,100
"bukta_og_utlopet_til_altaelva_0420030600-5-c","god","middels","darlig","middels",75,0
"leirbotnen_0420030700-c","god","middels","ukjent","lav",75,NA
"skillefjorden_0420030800-c","god","lav","ukjent","lav",75,NA
"korsfjorden_0420030900-c","god","hoy","darlig","middels",75,0
"rognsundet_0420031000-c","god","middels","ukjent","lav",75,NA
"innerpollen_0420031100-c","god","lav","ukjent","lav",75,NA
