"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
1996,"1820","Saithe",246126,"pok.27.1-2",0.58,136000,NA,220000,0.36,1,NA,1,8.4708,"Alstahaug",13.4482,397.61,0.0338225899751012,4.90991455058444,0.00688863108036681,0.00688863108036681,86.6581333333333,0.155186818394427,0.774541781064633
1997,"1820","Saithe",245371,"pok.27.1-2",0.58,136000,NA,220000,0.255,1,NA,1,19.4616,"Alstahaug",9.57606666666667,397.61,0.0240840689788151,5.60136145292458,0.00429968127949328,0.00429968127949328,42.7231666666667,0.224142249131034,0.403683641089024
1998,"1820","Saithe",294112,"pok.27.1-2",0.58,136000,NA,220000,0.254,1,NA,1,0.7958,"Alstahaug",6.94823333333333,397.61,0.0174749964370447,4.79545264006449,0.00364407653430807,0.00364407653430807,48.5481,0.143120602728703,0.231166816729733
1999,"1820","Saithe",310104,"pok.27.1-2",0.58,136000,NA,220000,0.254,1,NA,1,0.5873,"Alstahaug",0.857966666666667,397.61,0.0021578095789006,3.64016136757,0.000592778550457792,0.000592778550457792,2.06383333333333,0.415715093273037,0.0295303018525971
2005,"1820","Saithe",611511,"pok.27.1-2",0.58,136000,NA,220000,0.207,1,NA,1,1.1908,"Alstahaug",0.638633333333334,397.61,0.00160618026038916,5.10760297181373,0.000314468502985227,0.000314468502985227,1.48903333333333,0.42889122697052,0.0223814582590697
2006,"1820","Saithe",543695,"pok.27.1-2",0.58,136000,NA,220000,0.247,1,NA,1,0.1378,"Alstahaug",0.494633333333334,397.61,0.00124401633091052,5.76114172794118,0.000215932256079923,0.000215932256079923,1.16719999999999,0.423777701622118,0.0187711605992008
2007,"1820","Saithe",552527,"pok.27.1-2",0.58,136000,NA,220000,0.261,1,NA,1,0.1553,"Alstahaug",0.233166666666667,397.61,0.000586420529329411,6.00866320465686,0.0000975958394331239,0.0000975958394331239,0.511633333333327,0.455730014984696,0.00973781440942332
2008,"1820","Saithe",477066,"pok.27.1-2",0.58,136000,NA,220000,0.329,1,NA,1,0.4064,"Alstahaug",0.295766666666667,397.61,0.000743861237561095,4.18380309436275,0.000177795470002729,0.000177795470002729,0.79046666666666,0.374167158640469,0.0183443760080823
2009,"1820","Saithe",368792,"pok.27.1-2",0.58,136000,NA,220000,0.342,1,NA,1,0.3256,"Alstahaug",0.3025,397.61,0.000760795754633938,4.76477832751438,0.000159670755350925,0.000159670755350925,0.81366666666666,0.371773863170835,0.0165603626475926
2010,"1820","Saithe",333601,"pok.27.1-2",0.58,136000,NA,220000,0.377,1,NA,1,0.1755,"Alstahaug",0.197633333333334,397.61,0.00049705322636084,4.54685458435423,0.000109318038907865,0.000109318038907865,960.103133333333,0.000205845941411711,6.84536840555873
