Year,Municip_number,Municip_name_new,fish_score,runmean
1998,2004,Hammerfest,74.29953879717178,66.55998800330966
1999,2004,Hammerfest,38.83983979455706,63.42240338778525
2000,2004,Hammerfest,35.55493860021612,61.73537568550218
2001,2004,Hammerfest,73.23204013828077,64.77336351976545
2002,2004,Hammerfest,86.75052109728517,75.62317510988245
2003,2004,Hammerfest,89.48947796848815,87.82550327427136
2004,2004,Hammerfest,93.08889774514203,92.56293701989735
2005,2004,Hammerfest,96.56657942216063,93.8062234001363
2006,2004,Hammerfest,96.91920886641073,94.1272897218092
2007,2004,Hammerfest,92.96695299848002,93.86115731942748
2008,2004,Hammerfest,91.09480957685258,93.38513167437334
2009,2004,Hammerfest,91.75823573323345,91.9733342937825
2010,2004,Hammerfest,94.18645119688989,91.25539098569632
2011,2004,Hammerfest,89.86022196345657,90.84984836898495
2012,2004,Hammerfest,89.3772364580491,90.9402619536011
2013,2004,Hammerfest,89.0670964932958,90.79548515499926
2014,2004,Hammerfest,92.21030365631411,91.01024417909
2015,2004,Hammerfest,93.46256720388068,91.72453487568472
2016,2004,Hammerfest,90.93401708391035,NA
2017,2004,Hammerfest,92.94868994102275,NA
1994,2012,Alta,49.3483460677154,NA
1995,2012,Alta,89.57478626350698,NA
1996,2012,Alta,82.79833533719106,60.76334033655009
1997,2012,Alta,68.885480899654155,50.95967629845408
1998,2012,Alta,13.209753114682806,33.05878987214252
1999,2012,Alta,0.33002587723535676,36.49912280470431
2000,2012,Alta,0.07035413194920402,37.89842569853728
2002,2012,Alta,100,41.27899558917462
2003,2012,Alta,75.88199536881899,45.2234249365919
2004,2012,Alta,30.112602567869526,58.566270199510654
2005,2012,Alta,20.05217261432176,52.730194363811805
2006,2012,Alta,66.78458044654299,56.521106672938934
2007,2012,Alta,70.81962082150575,60.98699078031562
2008,2012,Alta,94.83655691445466,75.28204676495622
2009,2012,Alta,52.44202310475294,68.3731235413737
2010,2012,Alta,91.5274525375248,62.59965025924013
2011,2012,Alta,32.23996432863034,43.93900712775287
2012,2012,Alta,41.952254410837895,33.81329037298759
2013,2012,Alta,1.5333412570183447,16.2559874196515
2014,2012,Alta,1.8134393309265329,10.54622102648437
2015,2012,Alta,3.7409377708443645,3.1351398652804336
2016,2012,Alta,3.691132362794683,NA
2017,2012,Alta,4.896848604818218,NA
1994,2014,Loppa,90.75810384289228,NA
1995,2014,Loppa,66.00236362525882,NA
1996,2014,Loppa,18.013592115140774,64.54274045776685
1997,2014,Loppa,86.70506988527573,51.91025963541423
1998,2014,Loppa,61.23457282026666,42.06794442977529
1999,2014,Loppa,27.595699731129166,51.06565852176112
2000,2014,Loppa,16.7907875970641,51.503555700776154
2001,2014,Loppa,63.002162575069946,57.32656885235879
2002,2014,Loppa,88.8945557803509,69.16270829204576
2003,2014,Loppa,90.34963857817984,83.10335643989004
2004,2014,Loppa,86.77639692956402,88.51037970772418
2005,2014,Loppa,86.49402833628547,86.51287240704178
2006,2014,Loppa,90.03727891424076,81.56041260408654
2007,2014,Loppa,78.90701927693885,66.65779399639075
2008,2014,Loppa,65.58733956340359,68.95059471547528
2009,2014,Loppa,12.263303891085116,62.95425270509711
2010,2014,Loppa,97.95803193170808,59.181481391320084
2011,2014,Loppa,60.0555688623499,53.651913020068534
2012,2014,Loppa,60.04316270805375,51.20134428335835
2013,2014,Loppa,37.93949770714586,32.06234289832872
2014,2014,Loppa,0.010460207534182244,37.9504753234108
2016,2014,Loppa,2.263025006559921,NA
2017,2014,Loppa,89.49623098776027,NA
1994,2015,Hasvik,82.557796681287,NA
1995,2015,Hasvik,85.79310044206831,NA
1996,2015,Hasvik,88.34497176606645,81.7813916360391
1997,2015,Hasvik,87.33661128928092,70.75739955539417
1998,2015,Hasvik,64.87447800149282,56.33678355287035
1999,2015,Hasvik,27.43783627806235,50.69665265429795
2000,2015,Hasvik,13.690020429449206,37.756311099546835
2001,2015,Hasvik,60.14431727320449,42.565080788892544
2002,2015,Hasvik,22.634903515525338,55.94381258805163
2003,2015,Hasvik,88.91832644822134,72.3153357370243
2004,2015,Hasvik,94.33149527385778,79.58158363765915
2005,2015,Hasvik,95.5476361743126,94.34031927314349
2006,2015,Hasvik,96.47555677637874,95.86836142911007
2007,2015,Hasvik,96.42858169294705,96.12914485390488
2008,2015,Hasvik,96.55853722805418,96.89435259802791
2009,2015,Hasvik,95.63541239783184,97.59924124275216
2010,2015,Hasvik,99.37367489492775,98.31025403740912
2011,2015,Hasvik,100,98.50788565538645
2012,2015,Hasvik,99.98364566623182,98.43469036074357
2013,2015,Hasvik,97.54669531794084,97.9832998139255
2014,2015,Hasvik,95.26943592461748,97.6053063095732
2015,2015,Hasvik,97.11672216083736,97.26496324675048
2016,2015,Hasvik,98.11003247823847,NA
2017,2015,Hasvik,98.28193035211827,NA
1994,2017,Kvalsund,94.9296894563919,NA
1995,2017,Kvalsund,92.851502648423,NA
1996,2017,Kvalsund,98.4217199012366,90.75757091509979
1997,2017,Kvalsund,98.44488570881194,77.43542282846717
1998,2017,Kvalsund,69.14005686063554,60.70169818392289
1999,2017,Kvalsund,28.318949023228786,53.81792033562847
2000,2017,Kvalsund,9.182879425701598,53.435854583352715
2001,2017,Kvalsund,64.00283065976451,58.84085600273379
2002,2017,Kvalsund,96.53455694743315,72.12176149166984
2003,2017,Kvalsund,96.16506395754094,89.4879965668895
2004,2017,Kvalsund,94.72347646790901,76.81545396132688
2005,2017,Kvalsund,96.01405480179994,58.42299160337832
2006,2017,Kvalsund,0.640117631951412,40.00940848200736
2007,2017,Kvalsund,4.572245157690313,NA
2013,2017,Kvalsund,4.097148350686119,NA
1994,2018,Masoy,90.05326123870726,NA
1995,2018,Masoy,87.43252480241078,NA
1996,2018,Masoy,86.30912033891899,83.56479341112718
1997,2018,Masoy,86.41083255102531,71.34272580336184
1998,2018,Masoy,67.6182281245736,56.475984740008755
1999,2018,Masoy,28.942923199880585,52.10811229558006
2000,2018,Masoy,13.09881948564529,51.857072048819965
2001,2018,Masoy,64.46975811677551,55.93525691243481
2002,2018,Masoy,85.15563131722486,68.06394306531067
2003,2018,Masoy,88.00915244264783,83.24549698749587
2004,2018,Masoy,89.58635396425983,89.82262372701379
2005,2018,Masoy,89.00658909657133,92.26483859461464
2006,2018,Masoy,97.3553918143651,94.16422063959877
2007,2018,Masoy,97.36670565522918,95.84130324564151
2008,2018,Masoy,97.50606266756843,97.64158569164172
2009,2018,Masoy,97.97176699447357,98.170507328768707
2010,2018,Masoy,98.00800132657233,98.69716619772286
2011,2018,Masoy,100,98.90976195249246
2012,2018,Masoy,100,99.1381885002557
2013,2018,Masoy,98.56904144141643,99.25930088386175
2014,2018,Masoy,99.11389973328971,98.94630246363128
2015,2018,Masoy,98.61356324460266,98.75424017297966
2016,2018,Masoy,98.43500789884764,NA
2017,2018,Masoy,99.03968854674191,NA
1994,2019,Nordkapp,90.51214725805382,NA
1995,2019,Nordkapp,91.4326345522494,NA
1996,2019,Nordkapp,96.40987963764319,87.89753412811224
